Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Funding Texts,Document Type,Publication Stage,Open Access,Source,EID,relevant,country_first_author,subject_category,subject_cluster,subject_megatrend,ai_method,ai_task,main_goal,sdg_alignment,article_type,methodological_approach,spatial_scale,temporal_scale,temporal_focus,level_of_sustainability
"Mehmood, H.; Kostakos, P.; Cortés Orduña, M.; Anagnostopoulos, T.; Pirttikangas, S.; Gilman, E.","Mehmood, Hassan (57209971457); Kostakos, Panos A. (55585187800); Cortés Orduña, Marta (36052427500); Anagnostopoulos, Theodoros Vasileios (14031080700); Pirttikangas, Susanna (6507499990); Gilman, Ekaterina (35731359000)",57209971457; 55585187800; 36052427500; 14031080700; 6507499990; 35731359000,Concept drift adaptation techniques in distributed environment for real-world data streams,2021,Smart Cities,4,1,,349,371,71,10.3390/smartcities4010021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108571018&doi=10.3390%2Fsmartcities4010021&partnerID=40&md5=d9f1e8ab1c43fd831bdbe94f26ca88ee,"Center for Ubiquitous Computing, Oulun Yliopisto, Oulu, North Ostrobothnia, Finland; Department of Business Administration, University of West Attica, Athens, Attica, Greece","Mehmood, Hassan, Center for Ubiquitous Computing, Oulun Yliopisto, Oulu, North Ostrobothnia, Finland; Kostakos, Panos A., Center for Ubiquitous Computing, Oulun Yliopisto, Oulu, North Ostrobothnia, Finland; Cortés Orduña, Marta, Center for Ubiquitous Computing, Oulun Yliopisto, Oulu, North Ostrobothnia, Finland; Anagnostopoulos, Theodoros Vasileios, Department of Business Administration, University of West Attica, Athens, Attica, Greece; Pirttikangas, Susanna, Center for Ubiquitous Computing, Oulun Yliopisto, Oulu, North Ostrobothnia, Finland; Gilman, Ekaterina, Center for Ubiquitous Computing, Oulun Yliopisto, Oulu, North Ostrobothnia, Finland","Real-world data streams pose a unique challenge to the implementation of machine learning (ML) models and data analysis. A notable problem that has been introduced by the growth of Internet of Things (IoT) deployments across the smart city ecosystem is that the statistical properties of data streams can change over time, resulting in poor prediction performance and ineffective decisions. While concept drift detection methods aim to patch this problem, emerging communication and sensing technologies are generating a massive amount of data, requiring distributed environments to perform computation tasks across smart city administrative domains. In this article, we implement and test a number of state-of-the-art active concept drift detection algorithms for time series analysis within a distributed environment. We use real-world data streams and provide critical analysis of results retrieved. The challenges of implementing concept drift adaptation algorithms, along with their applications in smart cities, are also discussed. © 2021 by the authorsLicensee MDPI, Basel, Switzerland.","Funding: This research work has been financially supported by Academy of Finland UrBOT project (323630), by Academy of Finland 6Genesis Flagship (318927), by EU Horizon 2020 project CUTLER: Coastal Urban developmenT through the LEnses of Resiliency, under contract no. 770469 (http: //www.cutler-h2020.eu/ (accessed on 16 January 2021)), by Riitta ja Jorma J. Takasen Säätiö sr (https://www.rjtsaatio.fi/ (accessed on 16 January 2021)).",Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85108571018,Yes,Canada,Environment,Environment & Sustainability,Climate Change & Environmental Sustainability,"Machine Learning, LiDAR",Classification,Map urban wetlands using VHR satellite imagery and airborne LiDAR for smart city solutions,"SDG 11 (Sustainable Cities), SDG 15 (Land)",Empirical,Quantitative,Local,Future,Longitudinal,Strong
"Kasrin, N.; Benabbas, A.; Elmamooz, G.; Nicklas, D.; Steuer, S.; Sünkel, M.","Kasrin, Nasr (36447435800); Benabbas, Aboubakr (57194773028); Elmamooz, Golnaz (57211140181); Nicklas, Daniela (24528957200); Steuer, Simon (57194774160); Sünkel, Michael (55516981700)",36447435800; 57194773028; 57211140181; 24528957200; 57194774160; 55516981700,Data-sharing markets for integrating IoT data processing functionalities,2021,CCF Transactions on Pervasive Computing and Interaction,3,1,,76,93,5,10.1007/s42486-020-00054-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108005821&doi=10.1007%2Fs42486-020-00054-y&partnerID=40&md5=2858d8663f9f08beaa3e870c87651534,"Department of Mobile Systems, Universität Bamberg, Bamberg, Bayern, Germany","Kasrin, Nasr, Department of Mobile Systems, Universität Bamberg, Bamberg, Bayern, Germany; Benabbas, Aboubakr, Department of Mobile Systems, Universität Bamberg, Bamberg, Bayern, Germany; Elmamooz, Golnaz, Department of Mobile Systems, Universität Bamberg, Bamberg, Bayern, Germany; Nicklas, Daniela, Department of Mobile Systems, Universität Bamberg, Bamberg, Bayern, Germany; Steuer, Simon, Department of Mobile Systems, Universität Bamberg, Bamberg, Bayern, Germany; Sünkel, Michael, Department of Mobile Systems, Universität Bamberg, Bamberg, Bayern, Germany","The recent evolution of the Internet of Things into a cyber-physical reality has spawned various challenges from a data management perspective. In addition, IoT platform designers are faced with another set of questions. How can platforms be extended to smoothly integrate new data management functionalities? Currently, data processing related tasks are typically realized by manually developed code and functions which creates difficulties in maintenance and growth. Hence we need to explore other approaches to integration for IoT platforms. In this paper we cover both these aspects: (1) we explore several emerging data management challenges, and (2) we propose an IoT platform integration model that can combine disparate functionalities under one roof. For the first, we focus on the following challenges: sensor data quality, privacy in data streams, machine learning model management, and resource-aware data management. For the second, we propose an information-integration model for IoT platforms. The model revolves around the concept of a Data-Sharing Market where data management functionalities can share and exchange information about their data with other functionalities. In addition, data-sharing markets themselves can be combined into networks of markets where information flows from one market to another, which creates a web of information exchange about data resources. To motivate this work we present a use-case application in smart cities. © 2021, The Author(s).",,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85108005821,Yes,China,Urban Design,Urban Planning & Land Use,Urban Development & Land Use,Deep Learning (Siamese Network),Classification,Detect street scene change using multiple difference features network,SDG 11 (Sustainable Cities),Methodological,Quantitative,Local,Past,Longitudinal,Medium
"Campolo, C.; Genovese, G.; Iera, A.; Molinaro, A.","Campolo, Claudia (16479841900); Genovese, Giacomo (57200212895); Iera, A. (7007176996); Molinaro, Antonella (7005836392)",16479841900; 57200212895; 7007176996; 7005836392,Virtualizing ai at the distributed edge towards intelligent iot applications,2021,Journal of Sensor and Actuator Networks,10,1,13,,,22,10.3390/jsan10010013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108001351&doi=10.3390%2Fjsan10010013&partnerID=40&md5=7481db638ed3e4d5e57c87a5598dea19,"Department of Information, Università degli Studi di Reggio Calabria, Reggio Calabria, RC, Italy; Department of Information, Università della Calabria, Rende, CS, Italy; Université Paris-Saclay, Gif-sur-Yvette, Ile-de-France, France","Campolo, Claudia, Department of Information, Università degli Studi di Reggio Calabria, Reggio Calabria, RC, Italy; Genovese, Giacomo, Department of Information, Università degli Studi di Reggio Calabria, Reggio Calabria, RC, Italy; Iera, A., Department of Information, Università della Calabria, Rende, CS, Italy; Molinaro, Antonella, Department of Information, Università degli Studi di Reggio Calabria, Reggio Calabria, RC, Italy, Université Paris-Saclay, Gif-sur-Yvette, Ile-de-France, France","Several Internet of Things (IoT) applications are booming which rely on advanced artificial intelligence (AI) and, in particular, machine learning (ML) algorithms to assist the users and make decisions on their behalf in a large variety of contexts, such as smart homes, smart cities, smart factories. Although the traditional approach is to deploy such compute-intensive algorithms into the centralized cloud, the recent proliferation of low-cost, AI-powered microcontrollers and consumer devices paves the way for having the intelligence pervasively spread along the cloud-to-things continuum. The take off of such a promising vision may be hurdled by the resource constraints of IoT devices and by the heterogeneity of (mostly proprietary) AI-embedded software and hardware platforms. In this paper, we propose a solution for the AI distributed deployment at the deep edge, which lays its foundation in the IoT virtualization concept. We design a virtualization layer hosted at the network edge that is in charge of the semantic description of AI-embedded IoT devices, and, hence, it can expose as well as augment their cognitive capabilities in order to feed intelligent IoT applications. The proposal has been mainly devised with the twofold aim of (i) relieving the pressure on constrained devices that are solicited by multiple parties interested in accessing their generated data and inference, and (ii) and targeting interoperability among AI-powered platforms. A Proof-of-Concept (PoC) is provided to showcase the viability and advantages of the proposed solution. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Funding: This publication is co-financed with the support of the European Commission, the European Social Fund, and the Calabria Region. The authors are solely responsible for this publication, and the European Commission and the Region of Calabria decline any responsibility for the use that may be made of the information contained therein.",Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85108001351,Yes,South Korea,Environment,Environment & Sustainability,Climate Change & Environmental Sustainability,"ANN, OLS",Prediction/Forecasting,Develop statistical road-traffic noise mapping based on elementary urban forms,"SDG 3 (Health), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Future,Cross-sectional,Strong
"Bahrami, M.; Abdolvand, N.; Rajaee Harandi, S.","Bahrami, Marziyeh (57224656340); Abdolvand, Neda (58803777200); Rajaee Harandi, S. (57223082853)",57224656340; 58803777200; 57223082853,Developing a solution for intelligent urban transportation management using the internet of things,2021,Scientia Iranica,28,2,,709,720,3,10.24200/sci.2020.51688.2316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104816681&doi=10.24200%2Fsci.2020.51688.2316&partnerID=40&md5=bfbfc1ddb47a23b14b68adefcebf03fe,"Computer and IT Engineering, Islamic Azad University, Qazvin Branch, Qazvin, Qazvin Province, Iran; Department of Management, Alzahra University, Tehran, Tehran, Iran","Bahrami, Marziyeh, Computer and IT Engineering, Islamic Azad University, Qazvin Branch, Qazvin, Qazvin Province, Iran; Abdolvand, Neda, Department of Management, Alzahra University, Tehran, Tehran, Iran; Rajaee Harandi, S., Department of Management, Alzahra University, Tehran, Tehran, Iran","The increasing use of technologies based on internet of things in cars and other transportation vehicles, as well as innovations in tracking systems and spatial information systems, has opened up an opportunity to collect tolls on urban roads in a more intelligent, more efficient, and a wider way. Considering the cultural and infrastructure variables in different cities, different approaches have been designed for this purpose, but so far, no work has been done in this area in Tehran. Therefore, in this research, a system of hardware and software based on the internet of things was developed that benefited from Global Positioning System (GPS)/Global System for Mobile (GSM) communication to handle automated urban tolls in Tehran, providing rather the precise location of a user's car and toll payments at any given moment. In addition, in this system, considering the cultural issues in the country, the infrastructure in the metropolis of Tehran, and other important municipal issues, the trespass submission system was designed in accordance with existing surveillance cameras and an infrared-based structure was employed to reduce the burden of image processing in order to improve efficiency. The data obtained from this system will have more potential than using only urban toll management. © 2021 Sharif University of Technology. All rights reserved.",,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85104816681,Yes,China,Land Use,Urban Planning & Land Use,Urban Development & Land Use,"Artificial Fish Swarm Algorithm, CA",Simulation,Optimize urban growth simulation model integrating artificial fish swarm and cellular automata,SDG 11 (Sustainable Cities),Methodological,Quantitative,Local,Present,Cross-sectional,Medium
"Yu, Z.; Yang, K.; Luo, Y.; Shang, C.; Zhao, L.","Yu, Zhenyu (57192660625); Yang, Kun (57205570364); Luo, Yi (55712582900); Shang, Chunxue (55486786700); Zhao, Lei (56183432800)",57192660625; 57205570364; 55712582900; 55486786700; 56183432800,Secchi depth inversion of Dianchi Lake and its temporal and spatial variation analysis based on deep neural networks,2021,Shengtai Xuebao,41,6,,2515,2524,4,10.5846/stxb202005051106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103778565&doi=10.5846%2Fstxb202005051106&partnerID=40&md5=38940c849c487783f72b4d6d7d5b5f1e,"Faculty of Geography, Yunnan Normal University, Chenggong, Yunnan, China; Yunnan Normal University, Chenggong, Yunnan, China; Dean's Office, Yunnan Normal University, Chenggong, Yunnan, China; School of Information Science and Technology, Yunnan Normal University, Chenggong, Yunnan, China","Yu, Zhenyu, Faculty of Geography, Yunnan Normal University, Chenggong, Yunnan, China, Yunnan Normal University, Chenggong, Yunnan, China; Yang, Kun, Faculty of Geography, Yunnan Normal University, Chenggong, Yunnan, China, Yunnan Normal University, Chenggong, Yunnan, China; Luo, Yi, Faculty of Geography, Yunnan Normal University, Chenggong, Yunnan, China, Yunnan Normal University, Chenggong, Yunnan, China; Shang, Chunxue, Dean's Office, Yunnan Normal University, Chenggong, Yunnan, China; Zhao, Lei, School of Information Science and Technology, Yunnan Normal University, Chenggong, Yunnan, China",": Lake is an important ecological resource, which not only determines the quality of regionally ecological environment, but also guarantees the sustainable development of the city. Lake ecological environment can reflect the environmental situation of the region. Secchi depth (SD) can directly reflect the state of lake water quality, and mastering long-term and large-scale lake SD is the key to control and improve the lake water environment. Dianchi Lake, located in the middle of Yunnan Guizhou Plateau, is the sixth largest freshwater lake in China. It is the main water area for irrigation in Kunming area, and it is also the basic condition for urban development. Therefore, Dianchi Lake is chosen as the research area. Because the in-situ monitoring of lake water quality for this study area was started late, there are few historical SD data. So, it is necessary to simulate and estimate SD by remote sensing images. In this paper, deep neural network algorithm was used to invert the SD of Dianchi Lake from January 1, 2001 to December 3 1, 2018 based on in-situ data and MODIS remote sensing images, and explored its spatial-temporal variation characteristics by geospatial analysis. The in-situ data was the daily monitoring values of 10 stations (Baiyukou, Caohai Center, Dianchi South, Duanqiao, Cuanyinshan East, Cuanyinshan West, Cuanyinshan Center, Haikou West, Huiwan Center, and Luojiaying) from 2001 to 2010 and the monthly monitoring values of 2 regions (Caohai and Waihai) from 2018, which was provided by Yunnan Academy of Environmental Sciences; MODIS data was provided by NASA LAADS Web, with daily time resolution and 500 m spatial resolution. The methods used in this paper included Crey Relational Analysis (C R A), Long-Short Term Memory (L S T M), and Theil-Sen slope estimation. In the construction of SD inversion estimation model, the main methods include Correlation Analysis (C), Outlier Processing (O), Denoising Processing (D), and estimation model (COD-LSTM) . The results showed that (1) the inversion model proposed in this paper had better performance (RMSE = 0. 1359, M A E = 0.1134), which can objectively reflect SD status. (2) The analysis of temporal variation characteristics indicated that the SD of Dianchi Lake presented a downward trend with an average comprehensive change rate of - 0.08m/10 a. (3) The analysis of spatial variation characteristics indicated that the rate of decline in the region with higher SD was larger, and the trend in the region with lower SD was relatively stable. The SD near the urban and residential areas was relatively low. Human activities would become an important factor affecting the SD changes in Dianchi Lake, and it was also the main factor causing lake pollution. © 2021 Science Press. All rights reserved.",,Article,Final,,Scopus,2-s2.0-85103778565,Yes,China,Land Use,Urban Planning & Land Use,Urban Development & Land Use,YOLO-S-CIoU,Object Detection,Detect specific buildings (gas stations) in remote sensing using novel YOLO-S-CIoU model,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Methodological,Quantitative,Local,Past,Longitudinal,Strong
"Fehér, K.","Fehér, Katalin (57002748700)",57002748700,Expectation of smart mentality and citizen participation in technology-driven cities,2021,Smart Structures and Systems,27,3,,435,445,5,10.12989/sss.2021.27.3.435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103540329&doi=10.12989%2Fsss.2021.27.3.435&partnerID=40&md5=e11821533836a5226fba99bc9ae4cbc1,"Budapest University of Economics and Business, Budapest, Hungary","Fehér, Katalin, Budapest University of Economics and Business, Budapest, Hungary","The purpose of the paper is to investigate the expectations of smart mentality and citizen participation in technology-driven cities. 150 mainstream trend reports, white papers, and research summaries are analyzed in one corpus as business, governmental, and university research cooperations. The changing trends of the related academic literature frame the study. Keyword statistics, word pairs, content networks, and correlation matrix reveal the expected citizen participation. The most referenced top ten cities and their strategies support the understanding of the smart mentality behind the participation. According to the findings, open data, communities, collective participation, socio-technical engagement, and empowerment are the most expected human factors. Anonymity, neighborhood-based implementations, and temporary human roles are underrepresented in the corpus, as well as the privacy concerns and ethical issues. However, the emerging AI technology and the interpretative metaphors with rainforest, team player, and public agora urge a focus also on these indicators with a contribution of citizen engagement. The paper provides governmental policymaking and the academic research of technology-driven cities with a citizen-centric and complex summary. © © 2021 Techno-Press, Ltd.","This paper has been written with the support and within the framework: KÖFOP 2.1.2 – VEKOP – 15-2016-00001 Public Service Development for Establishing Good Governance: The Digital Governance and Research Program. Many thanks for the methodological support to ifj. Istvan Boros working at Budapest University of Technology and Economics. During the process of review and publishing, the author has become a Fulbright Research Fellow at Drexel University and Bolyai Research Fellow at the Hungarian Academy of Sciences to continue her work in research of socio-cultural AI.",Article,Final,,Scopus,2-s2.0-85103540329,Yes,China,Urban Climate,Environment & Sustainability,Climate Change & Environmental Sustainability,Cloud Computing,Classification,Analyze Chinese urban carbon footprint using Tapio decoupling principle and cloud computing,"SDG 11 (Sustainable Cities), SDG 13 (Climate)",Empirical,Quantitative,Local,Present,Longitudinal,Strong
"Chen, J.; Li, K.; Li, K.; Yu, P.S.; Zeng, Z.","Chen, Jianguo (57190416449); Li, Kenli (7404988992); Li, Keqin (7404989623); Yu, Philip S. (7402366049); Zeng, Zeng (57194337704)",57190416449; 7404988992; 7404989623; 7402366049; 57194337704,Dynamic Planning of Bicycle Stations in Dockless Public Bicycle-sharing System Using Gated Graph Neural Network,2021,ACM Transactions on Intelligent Systems and Technology,12,2,25,,,90,10.1145/3446342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102792488&doi=10.1145%2F3446342&partnerID=40&md5=465f97f4c92882990ac614430adfde8d,"College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; Department of Computer Science, SUNY New Paltz, New Paltz, NY, United States; College of Engineering, Chicago, IL, United States; A-Star, Institute for Infocomm Research, Singapore City, Singapore","Chen, Jianguo, College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; Li, Kenli, College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; Li, Keqin, College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China, Department of Computer Science, SUNY New Paltz, New Paltz, NY, United States; Yu, Philip S., College of Engineering, Chicago, IL, United States; Zeng, Zeng, A-Star, Institute for Infocomm Research, Singapore City, Singapore","Benefiting from convenient cycling and flexible parking locations, the Dockless Public Bicycle-sharing (DL-PBS) network becomes increasingly popular in many countries. However, redundant and low-utility stations waste public urban space and maintenance costs of DL-PBS vendors. In this article, we propose a Bicycle Station Dynamic Planning (BSDP) system to dynamically provide the optimal bicycle station layout for the DL-PBS network. The BSDP system contains four modules: bicycle drop-off location clustering, bicycle-station graph modeling, bicycle-station location prediction, and bicycle-station layout recommendation. In the bicycle drop-off location clustering module, candidate bicycle stations are clustered from each spatio-temporal subset of the large-scale cycling trajectory records. In the bicycle-station graph modeling module, a weighted digraph model is built based on the clustering results and inferior stations with low station revenue and utility are filtered. Then, graph models across time periods are combined to create a graph sequence model. In the bicycle-station location prediction module, the GGNN model is used to train the graph sequence data and dynamically predict bicycle stations in the next period. In the bicycle-station layout recommendation module, the predicted bicycle stations are fine-tuned according to the government urban management plan, which ensures that the recommended station layout is conducive to city management, vendor revenue, and user convenience. Experiments on actual DL-PBS networks verify the effectiveness, accuracy, and feasibility of the proposed BSDP system. © 2021 ACM.",,Article,Final,,Scopus,2-s2.0-85102792488,No,South Korea,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA
"Li, P.; Chang, J.; Zhang, Y.","Li, Pengshun (57220603214); Chang, Jiarui (57222471815); Zhang, Yi (55914070100)",57220603214; 57222471815; 55914070100,Multi-zone prediction analysis of city-scale travel order demand,2021,PLOS ONE,16,03-Mar,e0248064,,,2,10.1371/journal.pone.0248064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102747031&doi=10.1371%2Fjournal.pone.0248064&partnerID=40&md5=b81325cbce4717adee36023884b85d5f,"Tsinghua University, Beijing, China; Institute of Future Human Habitats, Tsinghua University, Beijing, China; George R. Brown School of Engineering and Computing, Houston, TX, United States; Department of Automation, Tsinghua University, Beijing, China","Li, Pengshun, Tsinghua University, Beijing, China, Institute of Future Human Habitats, Tsinghua University, Beijing, China; Chang, Jiarui, George R. Brown School of Engineering and Computing, Houston, TX, United States; Zhang, Yi, Tsinghua University, Beijing, China, Institute of Future Human Habitats, Tsinghua University, Beijing, China, Department of Automation, Tsinghua University, Beijing, China","Taxi order demand prediction is of tremendous importance for continuous upgrading of an intelligent transportation system to realise city-scale and personalised services. An accurate short-term taxi demand prediction model in both spatial and temporal relations can assist a city pre-allocate its resources and facilitate city-scale taxi operation management in a megacity. To address problems similar to the above, in this study, we proposed a multi-zone order demand prediction model to predict short-term taxi order demand in different zones at city-scale. A two-step methodology was developed, including order zone division and multi-zone order prediction. For the zone division step, the K-means++ spatial clustering algorithm was used, and its parameter k was estimated by the between–within proportion index. For the prediction step, six methods (backpropagation neural network, support vector regression, random forest, average fusion-based method, weighted fusion-based method, and k-nearest neighbour fusion-based method) were used for comparison. To demonstrate the performance, three multi-zone weighted accuracy indictors were proposed to evaluate the order prediction ability at city-scale. These models were implemented and validated on real-world taxi order demand data from a three-month consecutive collection in Shenzhen, China. Experiment on the city-scale taxi demand data demonstrated the superior prediction performance of the multi-zone order demand prediction model with the k-nearest neighbour fusion-based method based on the proposed accuracy indicator. © 2021 Li et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85102747031,Yes,United Kingdom,Transportation,Transportation & Mobility,Urban Mobility & Transportation,"AR, AI",Multiple,Develop and evaluate in-vehicle intelligent systems for driver support using emerging technologies,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Future,Cross-sectional,Medium
"Parlina, A.; Ramli, K.; Murfi, H.","Parlina, Anne (57194604391); Ramli, Kalamullah (55909526900); Murfi, Hendri (55926240900)",57194604391; 55909526900; 55926240900,Exposing emerging trends in smart sustainable city research using deep autoencoders-based fuzzy c-means,2021,Sustainability (Switzerland),13,5,2876,1,28,24,10.3390/su13052876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102679649&doi=10.3390%2Fsu13052876&partnerID=40&md5=9b870997f0c8db158aff019f171ea94c,"Universitas Indonesia, Depok, West Java, Indonesia; Department of Mathematics, Universitas Indonesia, Depok, West Java, Indonesia","Parlina, Anne, Universitas Indonesia, Depok, West Java, Indonesia; Ramli, Kalamullah, Universitas Indonesia, Depok, West Java, Indonesia; Murfi, Hendri, Department of Mathematics, Universitas Indonesia, Depok, West Java, Indonesia","The literature discussing the concepts, technologies, and ICT-based urban innovation approaches of smart cities has been growing, along with initiatives from cities all over the world that are competing to improve their services and become smart and sustainable. However, current studies that provide a comprehensive understanding and reveal smart and sustainable city research trends and characteristics are still lacking. Meanwhile, policymakers and practitioners alike need to pursue progressive development. In response to this shortcoming, this research offers content analysis studies based on topic modeling approaches to capture the evolution and characteristics of topics in the scientific literature on smart and sustainable city research. More importantly, a novel topic-detecting algorithm based on the deep learning and clustering techniques, namely deep autoencoders-based fuzzy C-means (DFCM), is introduced for analyzing the research topic trend. The topics generated by this proposed algorithm have relatively higher coherence values than those generated by previously used topic detection methods, namely non-negative matrix factorization (NMF), latent Dirichlet allocation (LDA), and eigenspace-based fuzzy C-means (EFCM). The 30 main topics that appeared in topic modeling with the DFCM algorithm were classified into six groups (technology, energy, environment, transportation, e-governance, and human capital and welfare) that characterize the six dimensions of smart, sustainable city research. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",This research was partly funded by the Universitas Indonesia through the PUTI Q2 scheme under contract number NKB-4278/UN2.RST/HKP.05.00/2020.,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85102679649,Yes,Iran,Transportation,Transportation & Mobility,Urban Mobility & Transportation,AI (General),Not Specified,Develop framework for component selection considering dark sides of AI for autonomous vehicles,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Methodological,Quantitative,Local,Past,Longitudinal,Strong
"Simwanda, M.; Murayama, Y.; Phiri, D.; Nyirenda, V.R.; Ranagalage, M.","Simwanda, Matamyo (53871954000); Murayama, Yuji (23393282900); Phiri, Darius (57195738277); Nyirenda, Vincent R. (55857334800); Ranagalage, Manjula M. (57194041789)",53871954000; 23393282900; 57195738277; 55857334800; 57194041789,"Simulating scenarios of future intra-urban land-use expansion based on the neural network–markov model: A case study of lusaka, zambia",2021,Remote Sensing,13,5,942,1,25,20,10.3390/rs13050942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102659241&doi=10.3390%2Frs13050942&partnerID=40&md5=618fe63d77eed935fbc8a1f922b3d52a,"Department of Plant and Environmental Sciences, Copperbelt University, Kitwe, Zambia; Faculty of Life and Environmental Sciences, University of Tsukuba, Tsukuba, Ibaraki, Japan; Department of Zoology and Aquatic Sciences, Copperbelt University, Kitwe, Zambia; Department of Environmental Sciences, University of Colombo, Colombo, Sri Lanka","Simwanda, Matamyo, Department of Plant and Environmental Sciences, Copperbelt University, Kitwe, Zambia; Murayama, Yuji, Faculty of Life and Environmental Sciences, University of Tsukuba, Tsukuba, Ibaraki, Japan; Phiri, Darius, Department of Plant and Environmental Sciences, Copperbelt University, Kitwe, Zambia; Nyirenda, Vincent R., Department of Zoology and Aquatic Sciences, Copperbelt University, Kitwe, Zambia; Ranagalage, Manjula M., Faculty of Life and Environmental Sciences, University of Tsukuba, Tsukuba, Ibaraki, Japan, Department of Environmental Sciences, University of Colombo, Colombo, Sri Lanka","Forecasting scenarios of future intra-urban land-use (intra-urban-LU) expansion can help to curb the historically unplanned urbanization in cities in sub-Saharan Africa (SSA) and promote urban sustainability. In this study, we applied the neural network–Markov model to simulate scenarios of future intra-urban-LU expansion in Lusaka city, Zambia. Data derived from remote sensing (RS) and geographic information system (GIS) techniques including urban-LU maps (from 2000, 2005, 2010, and 2015) and selected driver variables, were used to calibrate and validate the model. We then simulated urban-LU expansion for three scenarios (business as usual/status quo, environmental conservation and protection, and strategic urban planning) to explore alternatives for attaining urban sustainability by 2030. The results revealed that Lusaka had experienced rapid urban expansion dominated by informal settlements. Scenario analysis results suggest that a business-as-usual setup is perilous, as it signals an escalating problem of unplanned settlements. The environmental conservation and protection scenario is insufficient, as most of the green spaces and forests have been depleted. The strategic urban planning scenario has the potential for attaining urban sustainability, as it predicts sufficient control of unplanned settlement expansion and protection of green spaces and forests. The study proffers guidance for strategic policy directions and creating a planning vision. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Funding text 1: Funding: This study was supported by the Monbukagakusho scholarship program of Japan for post-graduate studies and the JSPS grant 18H00763 (2018\u201320).; Funding text 2: This study was supported by the Monbukagakusho scholarship program of Japan for post-graduate studies and the JSPS grant 18H00763 (2018?20).,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85102659241,Yes,Saudi Arabia,Infrastructure,Smart City Infrastructure,Digital Transformation & Smart Cities,Digital Twin DNA Model,Not Specified,Devise digital twins DNA paradigm for modeling ISO-based city services,SDG 11 (Sustainable Cities),Conceptual/Theoretical,Qualitative,Local,Future,Cross-sectional,Strong
